Qty-4,Part References,Value,Package,Mfg Part Num,Mfg Name,VID,Vendor Part Num,Description,Pkg Code,XREF
4,"C1",0.1uF,C3216,C1206C104K4RACTU,Kemet,DK,399-9305-1-ND,CAP CER 0.1UF 16V 10% X7R 1206,C3216,REF4
4,"R9",1K,R3216,KTR18EZPJ102,Rohm Semiconductor,DK,RHM1.0KPCT-ND,RES 1K OHM 1/4W 5% 1206 SMD,R3216,REF17
4,"R11",4.7K,R3216,KTR18EZPF4701,Rohm Semiconductor,DK,RHM4.7KAICT-ND,RES SMD 4.7K OHM 1% 1/4W 1206 SMD,R3216,REF18
4,"BATT",5VDC,JST-PH-2-SMT-RA,S2B-PH-SM4-TB(LF)(SN),JST Sales America Inc,DK,455-1749-1-ND,CONN HEADER PH SIDE 2POS 2MM SMD,*,REF37
12,"R2, R3, R10",10K,R3216,KTR18EZPJ103,Rohm Semiconductor,DK,RHM10KPCT-ND,RES 10K OHM 1/4W 5% 1206 SMD,R3216,REF13
4,"R4",27K,R3216,***PART# 'KTR18EZPJ273' NOT FOUND***,*,*,*,*,*,*
12,"R6, R7, R8",68,R3216,KTR18EZPF68R0,Rohm Semiconductor,DK,RHM68AICT-ND,RES SMD 68 OHM 1% 1/4W 1206,R3216,REF12
4,"R1",100K,R3216,KTR18EZPJ104,Rohm Semiconductor,DK,RHM100KPCT-ND,RES 100K OHM 1/4W 5% 1206 SMD,R3216,REF16
4,"R5",220,R3216,KTR18EZPJ221,Rohm Semiconductor,DK,RHM220PCT-ND,RES 220 OHM 1/4W 5% 1206 SMD,R3216,REF19
4,"U1-3",BOM-ENTRY,*,310-87-105-41-001101,Preci-Dip,DK,1212-1094-ND,5 Position Socket Connector 0.100" (2.54mm) Through Hole Gold,*,REF23
8,"U1-1, U1-2",BOM-ENTRY,*,310-87-114-41-001101,Preci-Dip,DK,1212-1101-ND,14 Position Socket Connector 0.100" (2.54mm) Through Hole Gold,*,REF21
12,"U1-4, U1-5, U1-6",BOM-ENTRY,*,351-10-114-00-004101,Preci-Dip,DK,1212-1153-ND,14 Positions Header, Unshrouded Connector 0.100" (2.54mm) Through Hole Gold,*,REF22
8,"U2-1, U2-2",BOM-ENTRY,*,831-87-010-10-001101,Preci-Dip,DK,1212-1314-ND,SOCKET 4.2 MM SOLDER TAIL SINGLE,*,REF20
4,"SENSOR1-1",BOM-ENTRY,*,MB7374,MaxBotix Inc.,MB,MB7374,HRXL-MaxSonar - WRS Series Ultrasonic Snow Depth Sensor MB7374,*,REF34
4,"SNESOR1-2",BOM-ENTRY,*,MB7957,MaxBotix Inc.,MB,MB7957,HR-MaxTemp MB7957,*,REF33
4,"JP1-1",BOM-ENTRY,*,PRT-09920,Sparkfun,SF,MOLEX_TO_MOLEX_13_II_07,Molex Jumper 4 Wire Assembly 6" Long,*,REF29
4,"U2-3",BOM-ENTRY,*,RN-UFL-SMA6,Microchip Technology,DK,740-1031-ND,CABLE COAX W/UFL RPSMA 6,*,REF31
4,"U2-4",BOM-ENTRY,*,W1038,Pulse Electronics Corporation,DK,553-1476-ND,ANTENNA 2.4GHZ HG R-SMA BLK 6.6,*,REF32
4,"D1",GREEN,LED-0603,LNJ337W83RA,Panasonic Electronic Components,DK,LNJ337W83RACT-ND,LED GREEN HIGH BRIGHT ESS SMD,0603,REF1
8,"JP2, JP4",M02POLAR,MOLEX-1X2,0022292021,Molex Inc,DK,WM2744-ND,CONN HEADER 2POS .100 VERT GOLD,*,REF11
12,"Q1, Q3, Q4",MMBT2222A,SOT23-BEC,MMBT2222A,Fairchild Semiconductor,DK,MMBT2222AFSCT-ND,TRANSISTOR GP NPN AMP SOT-23,SOT23,REF7
4,"Q2",MMBT4403LT1SMD,SOT23-BEC,MMBT4403,Fairchild Semiconductor,DK,MMBT4403FSCT-ND,TRANSISTOR GP PNP AMP SOT-23,SOT23,REF8
4,"D3",RED,LED-0603,LNJ237W82RA,Panasonic Electronic Components,DK,LNJ237W82RACT-ND,LED RED HIGH BRIGHT ESS SMD,0603,REF3
4,"U1",TEENSY 3.2,TEENSY_3.1_BASIC,TEENSY32,PRJC.COM,PR,TEENSY32,Teensy USB Board, Version 3.2,*,REF36
8,"JP1, JP3",To LiPo Charger,MOLEX-1X4,0022292041,Molex Inc,DK,WM2746-ND,CONN HEADER 4POS .100 VERT GOLD,*,REF9
4,"U2",XBEE-1B1,XBEE-1,XB24-AUI-001,Digi International/Maxstream,DK,XB24-AUI-001-ND,MODULE 802.15.4 1MW W/U.FL CONN,*,REF30
4,"D2",YELLOW,LED-0603,LNJ437W84RA,Panasonic Electronic Components,DK,LNJ437W84RACT-ND,LED AMBER HIGH BRIGHT ESS SMD,0603,REF2
